Commands:
    CTRL+R    Reset chip
    CTRL+C    Exit

ESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x15 (USB_UART_CHIP_RESET),boot:0x2b (SPI_FAST_FLASH_BOOT)
Saved PC:0x40378eb1
SPIWP:0xee
mode:DIO, clock div:2
load:0x3fce2820,len:0x158c
load:0x403c8700,len:0xd24
load:0x403cb700,len:0x2f34
entry 0x403c8924
I (28) boot: ESP-IDF v5.5.1-838-gd66ebb86d2e 2nd stage bootloader
I (29) boot: compile time Nov 26 2025 12:27:56
I (29) boot: Multicore bootloader
I (30) boot: chip revision: v0.2
I (32) boot: efuse block revision: v1.4
I (36) boot.esp32s3: Boot SPI Speed : 40MHz
I (40) boot.esp32s3: SPI Mode       : DIO
I (44) boot.esp32s3: SPI Flash Size : 4MB
I (47) boot: Enabling RNG early entropy source...
I (52) boot: Partition Table:
I (54) boot: ## Label            Usage          Type ST Offset   Length
I (61) boot:  0 nvs              WiFi data        01 02 00009000 00006000
I (67) boot:  1 phy_init         RF data          01 01 0000f000 00001000
I (74) boot:  2 factory          factory app      00 00 00010000 003f0000
I (80) boot: End of partition table
I (84) esp_image: segment 0: paddr=00010020 vaddr=3c000020 size=02bb0h ( 11184) map
I (94) esp_image: segment 1: paddr=00012bd8 vaddr=3fc897a8 size=01a58h (  6744) load
I (100) esp_image: segment 2: paddr=00014638 vaddr=40378000 size=017a8h (  6056) load
I (108) esp_image: segment 3: paddr=00015de8 vaddr=00000000 size=0a230h ( 41520) 
I (123) esp_image: segment 4: paddr=00020020 vaddr=42010020 size=080d0h ( 32976) map
I (134) boot: Loaded app from partition at offset 0x10000
I (134) boot: Disabling RNG early entropy source...
# sensor OK (WHO_AM_I = 0x68)
# capture: 128 samples @ 20 ms (~50 Hz)
# columns: ax,ay,az,gx,gy,gz (raw counts)
# press BOOT, wait for GO, then perform the gesture
# ready...
# GO
3376,1352,18096,-1156,-814,-98
2624,1132,17360,-3617,1714,78
2268,1692,17464,-3768,1438,-535
3024,1384,17092,-2970,670,363
3140,1576,16204,-2575,-643,1373
3620,-124,15092,-1872,695,1310
1084,624,17436,-1300,1500,-467
5292,3808,18552,829,-4048,-148
4276,1436,17648,-1504,-1909,4689
-160,-960,16004,-4532,492,3326
1672,-76,14972,-4196,3452,-2803
3120,2336,18184,-3462,2935,-3254
3660,-644,16076,-3703,-2494,-900
2348,-952,13908,-1871,1232,-859
2548,-100,14152,890,1073,-1901
1164,324,14584,3623,-1704,-3074
3252,208,11868,9713,-8112,-3648
3844,1320,11424,13912,-7466,-3763
412,1504,10104,14643,-5828,-4942
932,4080,10480,13701,510,-7512
4000,6416,8896,15874,-2976,-6323
5916,8824,3024,25517,-8891,-3569
6144,10580,2136,32767,-3079,349
1244,13232,16412,32072,378,-305
1956,13252,15668,23571,-3690,-3647
3904,13744,12788,16440,1191,-5213
2212,13740,11888,13534,1759,-5852
2236,15028,13900,11320,-69,-8470
7360,18464,13484,9302,-1389,-8318
8588,19020,17252,5598,-4603,-5216
4340,18076,11048,3055,3605,-2448
2308,19688,17532,5348,6052,-6653
9196,20496,28028,-2957,7915,-5500
7544,20392,21564,-11734,4149,614
2908,18328,17904,-12702,5780,1231
4264,18240,23724,-17893,8794,953
2420,17584,18848,-23468,1551,2475
2080,15840,16752,-19925,-48,1991
2284,17132,20752,-22420,-2875,2124
6132,17992,19952,-28245,898,4106
6596,16400,19524,-31546,738,8518
992,13552,17928,-31712,-2268,11029
-2084,10680,12600,-31716,-3273,8464
616,6852,9896,-30249,3558,5802
1908,5448,11032,-26778,2468,4007
1532,3028,10176,-23596,-1554,4539
1276,1476,6352,-21728,-2528,4071
